"# laser calibration summary, session 2026-07-20 (see pd_calibration.ipynb)"
constant,value,note
mw_per_count,1.187226e-02,linear slope above threshold
threshold_counts,735.0,laser threshold
pd_per_mw_anchor,16.313,"average conversion; +/-12 counts wiggle systematic, worst 1500-1800"
pd_dark_counts,15.9,"at 16 uW leakage, laser offset 0"
cymac_clock_offset_s,4261,"cymac fast, this session"

level_counts,power_mw_measured,pd_median,pd_std
0,0.016,16.27,106.84
1800,12.52,239.77,35.23
1700,11.64,172.54,6.41
1600,10.34,185.92,3.98
1550,9.88,188.06,19.46
1500,9.21,148.17,15.43
1400,7.97,123.95,9.95
1300,6.66,112.48,28.15
1200,5.39,83.94,2.48
1100,4.24,80.02,9.33
1000,3.03,63.46,5.69
975,2.75,52.64,4.49
950,2.44,46.05,2.25
925,2.27,41.95,2.62
900,1.991,39.23,2.34
875,1.63,37.05,1.85
850,1.39,36.44,1.82
840,1.28,35.66,1.88
830,1.2,34.70,1.94
820,1.09,33.03,2.05
810,0.98,30.97,2.00
800,0.85,26.86,7.50
0,0.0159,16.96,25.64
1000,3.05,67.49,27.63
1400,7.99,124.05,59.60
1800,12.53,240.14,113.11
0,0.0159,14.34,2.17
