"# laser PD->mW calibration  20260720_1848 UTC  note: Ophir Starbright, in front of chamber, 660"
level_counts,readback_counts,t_set_utc,t_set_unix,t_read_utc,t_read_unix,power_mw,note
0,0.0,2026-07-20T18:48:23.791561+00:00,1784573303.792,2026-07-20T18:49:45.662087+00:00,1784573385.662,,UNPARSED ENTRY: '16 uW'
1800,1800.0,2026-07-20T18:49:45.662486+00:00,1784573385.662,2026-07-20T18:50:56.924532+00:00,1784573456.925,,UNPARSED ENTRY: '12.52 mW'
1700,1700.0,2026-07-20T18:50:56.924832+00:00,1784573456.925,2026-07-20T18:52:06.979095+00:00,1784573526.979,11.64,
1600,1600.0,2026-07-20T18:52:06.979334+00:00,1784573526.979,2026-07-20T18:53:42.473314+00:00,1784573622.473,10.34,
1550,1600.0,2026-07-20T18:53:42.473571+00:00,1784573622.474,2026-07-20T18:54:51.391851+00:00,1784573691.392,9.88,
1500,1500.0,2026-07-20T18:54:51.392161+00:00,1784573691.392,2026-07-20T18:55:58.790497+00:00,1784573758.790,9.21,
1400,1400.0,2026-07-20T18:55:58.790730+00:00,1784573758.791,2026-07-20T18:57:08.893191+00:00,1784573828.893,7.97,
1300,1300.0,2026-07-20T18:57:08.893459+00:00,1784573828.893,2026-07-20T18:58:13.595870+00:00,1784573893.596,6.66,
1200,1200.0,2026-07-20T18:58:13.596141+00:00,1784573893.596,2026-07-20T18:59:22.098330+00:00,1784573962.098,5.39,
1100,1100.0,2026-07-20T18:59:22.098552+00:00,1784573962.099,2026-07-20T19:00:29.433413+00:00,1784574029.433,4.24,
1000,1000.0,2026-07-20T19:00:29.433680+00:00,1784574029.434,2026-07-20T19:01:37.463765+00:00,1784574097.464,3.03,
975,975.0,2026-07-20T19:01:37.464002+00:00,1784574097.464,2026-07-20T19:02:45.582337+00:00,1784574165.582,2.75,
950,950.0,2026-07-20T19:02:45.582639+00:00,1784574165.583,2026-07-20T19:04:11.020649+00:00,1784574251.021,2.44,
925,925.0,2026-07-20T19:04:11.020942+00:00,1784574251.021,2026-07-20T19:05:21.267323+00:00,1784574321.267,2.27,
900,900.0,2026-07-20T19:05:21.267615+00:00,1784574321.268,2026-07-20T19:06:39.097763+00:00,1784574399.098,1.991,
875,875.0,2026-07-20T19:06:39.098081+00:00,1784574399.098,2026-07-20T19:07:47.256418+00:00,1784574467.256,1.63,
850,850.0,2026-07-20T19:07:47.256730+00:00,1784574467.257,2026-07-20T19:08:55.878976+00:00,1784574535.879,1.39,
840,840.0,2026-07-20T19:08:55.879307+00:00,1784574535.879,2026-07-20T19:10:09.445750+00:00,1784574609.446,1.28,
830,830.0,2026-07-20T19:10:09.446012+00:00,1784574609.446,2026-07-20T19:11:20.428219+00:00,1784574680.428,1.2,
820,820.0,2026-07-20T19:11:20.428474+00:00,1784574680.428,2026-07-20T19:12:29.314887+00:00,1784574749.315,1.09,
810,810.0,2026-07-20T19:12:29.315125+00:00,1784574749.315,2026-07-20T19:13:47.969361+00:00,1784574827.969,0.98,
800,800.0,2026-07-20T19:13:47.969570+00:00,1784574827.970,2026-07-20T19:14:55.232079+00:00,1784574895.232,0.85,
0,0.0,2026-07-20T19:14:55.232469+00:00,1784574895.232,2026-07-20T19:16:06.022630+00:00,1784574966.023,0.0159,
1000,1000.0,2026-07-20T19:16:06.022905+00:00,1784574966.023,2026-07-20T19:17:19.205070+00:00,1784575039.205,3.05,
1400,1400.0,2026-07-20T19:17:19.205317+00:00,1784575039.205,2026-07-20T19:18:27.587858+00:00,1784575107.588,7.99,
1800,1800.0,2026-07-20T19:18:27.588155+00:00,1784575107.588,2026-07-20T19:19:36.186272+00:00,1784575176.186,12.53,
0,0.0,2026-07-20T19:19:36.186755+00:00,1784575176.187,2026-07-20T19:20:43.161347+00:00,1784575243.161,0.0159,
