step,pd_level,counts,power_mw,t_start_gps,t_end_gps,duration_h,f_ss_hz,tau_s,tau_err_s,f_ss_fixed_gamma_hz,hold_in_tau
0,14.046571254730225,,,1467323190.0,1467398190.0,20.833333333333332,,,,,
1,14.075136184692383,,,1467399090.0,1467402990.0,1.0833333333333333,,,,,
2,240.18798828125,1800,12.52,1467403290.0,1467405690.0,0.6666666666666666,2.7682614347362655,725.418243727967,0.8303728185360404,-4.782273691348693,0.47122520941118495
3,167.29173278808594,1600,10.34,1467406290.0,1467477690.0,19.833333333333332,3.8651988204997805,3988.168662364548,0.46781854624425173,3.8819114664713754,17.590689671101256
4,186.1692352294922,1550,9.88,1467477990.0,1467486990.0,2.5,3.8549195887969994,309.6148487974291,1.5719907072266248,3.854885751876726,2.2867162478442964
5,160.0484848022461,1500,9.21,1467487290.0,1467491490.0,1.1666666666666667,3.7900085088301827,1268.0359012970487,0.6525941608192877,3.7499168691061238,1.031581054446908
6,114.54380798339844,1400,7.97,1467491790.0,1467496890.0,1.4166666666666667,3.4585043704674288,1979.5722354305826,0.9756726805462078,3.3081130267883117,1.3202451342695243
7,134.65413665771484,1300,6.66,1467497190.0,1467561990.0,18.0,2.7193961969456684,3984.7823290774377,0.18926773266079447,2.7179687710063174,16.037543883961565
8,84.00898742675781,1200,5.39,1467562290.0,1467570090.0,2.1666666666666665,2.2774182244909533,2617.033352667897,0.908845434260141,2.1819256328130257,1.9668753079576249
9,74.14137268066406,,,1467570090.0,1467580590.0,2.9166666666666665,1.7599331889645922,2925.0720871300814,0.5777231806040679,1.707759462243739,2.5868402007883713
10,81.24043273925781,,,1467580590.0,1467583290.0,0.75,1.6329367285363108,1064.7289325116478,1.0006558573541655,1.490344744937918,0.6651846205962059
11,67.20345687866211,1000,3.04,1467583590.0,1467646590.0,17.5,1.1241613469556229,5687.105942362098,0.3491301293781991,1.1340882790768996,15.594546840354765
12,47.627485275268555,,,1467646890.0,1467651090.0,1.1666666666666667,0.9724212507887993,1889.4731839599788,1.295540443893676,0.884416347330511,1.1055062823355506
13,39.46941375732422,,,1467651090.0,1467654990.0,1.0833333333333333,0.8052666408269468,1553.9107713835301,1.3257730549786875,0.6836219971488542,0.9608239406257698
14,33.10901641845703,,,1467654990.0,1467661290.0,1.75,0.3548494576824457,2552.0926620658843,1.889508134359903,0.22207608567360212,1.5521025806848976
